Channel,Time,Program
Rai 1,18:45,L'EreditÃ
Rai 1,20:00,Tg1
Rai 1,20:30,Cinque Minuti
Rai 1,20:35,Affari tuoi
Rai 1,21:30,Gerri
Rai 1,23:30,Cose Nostre
Rai 1,23:55,Tg1
Rai 1,00:00,Cose Nostre
Rai 2,18:00,Tg2
Rai 2,18:20,Referendum 2025
Rai 2,18:50,Tg Sport TG Sport Sera
Rai 2,19:00,Blue Bloods St 9  Ep 22  - Qualcosa di blu
Rai 2,19:45,Blue Bloods St 10  Ep 1  - Sotto mentite spoglie
Rai 2,20:30,Tg2
Rai 2,21:00,TG2 Post
Rai 2,21:20,Audiscion
Rai 3,19:00,Tg3
Rai 3,19:30,Tg Regione
Rai 3,19:51,Tg Regione
Rai 3,20:00,Blob
Rai 3,20:20,Faccende complicate
Rai 3,20:40,Il cavallo e la torre
Rai 3,20:50,Un posto al sole
Rai 3,21:20,Lo stato delle cose
Rai 4,18:20,Hawaii Five-0 St 9  Ep 5  - Il racconto di Jerry
Rai 4,19:03,Senza traccia St 4  Ep 7
Rai 4,19:48,Senza traccia
Rai 4,20:34,Criminal Minds St 13  Ep 13
Rai 4,21:22,The Roundup: Punishment
Rai 4,23:12,DÃ©jÃ  Vu - Corsa contro il tempo
Rai 4,01:21,Appuntamento al cinema
Rai 4,01:24,Criminal Minds St 13  Ep 13
Canale 5,18:45,CADUTA LIBERA
Canale 5,19:42,TG5 - ANTICIPAZIONE
Canale 5,19:43,CADUTA LIBERA
Canale 5,19:57,TG5 PRIMA PAGINA
Canale 5,20:00,TG5
Canale 5,20:38,METEO.IT
Canale 5,20:40,STRISCIA LA NOTIZIA - LA VOCE DELLA COMPLOTTENZA
Canale 5,21:20,IL VOLO - TUTTI PER UNO - Viaggio nel tempo
Italia 1,18:12,L'ISOLA DEI FAMOSI
Italia 1,18:21,STUDIO APERTO LIVE
Italia 1,18:24,METEO.IT
Italia 1,18:30,STUDIO APERTO
Italia 1,18:56,STUDIO APERTO MAG
Italia 1,19:30,C.S.I. MIAMI - L'ULTIMO SCOOP
Italia 1,20:33,NCIS - UNITA' ANTICRIMINE - LA VITA CONTINUA
Italia 1,21:27,FBI: MOST WANTED - ARS MORIENDI - 1aTV
Canale 20 Mediaset,18:17,THE FLASH - DISTURBO IMPULSIVO ECCESSIVO
Canale 20 Mediaset,19:13,PERSON OF INTEREST - IL DILEMMA DEL PRIGIONIERO
Canale 20 Mediaset,20:11,THE BIG BANG THEORY - IL FATTORE SORELLA GEMELLA
Canale 20 Mediaset,20:37,THE BIG BANG THEORY - LA REAZIONE ALLE ARACHIDI
Canale 20 Mediaset,21:08,STOLEN - 1 PARTE
Canale 20 Mediaset,22:00,TGCOM24 BREAKING NEWS
Canale 20 Mediaset,22:08,METEO.IT
Canale 20 Mediaset,22:10,STOLEN - 2 PARTE
Rete 4,18:58,TG4 - TELEGIORNALE
Rete 4,19:35,METEO.IT
Rete 4,19:39,LA PROMESSA III - 426 - 1aTV
Rete 4,20:30,4 DI SERA
Rete 4,21:20,QUARTA REPUBBLICA
Rete 4,00:52,TURNE' - 1 PARTE
Rete 4,01:22,TGCOM24 BREAKING NEWS
Rete 4,01:24,METEO.IT
Warner TV,18:45,Supernatural - Stagione 11 Episodio 19
Warner TV,19:40,Supernatural - Stagione 11 Episodio 20
Warner TV,20:35,Supernatural - Stagione 11 Episodio 21
Warner TV,21:30,Dark Blue - Stagione 1 Episodio 1
Warner TV,23:55,Dark Blue - Stagione 1 Episodio 2
Warner TV,02:20,Supernatural - Stagione 11 Episodio 11 - Il mistico
Warner TV,03:10,Supernatural - Stagione 11 Episodio 12 - Non ti dimenticar di me
Warner TV,04:00,Supernatural - Stagione 11 Episodio 13 - L'amore fa soffrire
Rai Movie,19:05,Passione ribelle
Rai Movie,21:10,Geronimo!
Rai Movie,23:00,Il piccolo grande uomo
Rai Movie,01:35,Hannah e le sue sorelle
Rai Movie,03:15,Guida romantica a posti perduti
Rai Movie,05:00,Sinbad il marinaio
Cine 34,18:58,A CENA CON - TRE SORELLE - 1 PARTE
Cine 34,19:40,TGCOM24 BREAKING NEWS
Cine 34,19:48,METEO.IT
Cine 34,19:49,A CENA CON - TRE SORELLE - 2 PARTE
Cine 34,21:00,BOMBER - 1 PARTE
Cine 34,22:05,TGCOM24 BREAKING NEWS
Cine 34,22:13,METEO.IT
Cine 34,22:15,BOMBER - 2 PARTE
TWENTYSEVEN,18:22,LA CASA NELLA PRATERIA - L'AMICIZIA PUO' FARE MIRACOLI
TWENTYSEVEN,19:21,MONK - IL SIGNOR MONK E LA FAN OSSESSIVA
TWENTYSEVEN,20:20,MONK - IL SIGNOR MONK E IL RAPPER
TWENTYSEVEN,21:18,BUGIARDO BUGIARDO - 1 PARTE
TWENTYSEVEN,22:18,TGCOM24 BREAKING NEWS - 19/05/2025
TWENTYSEVEN,22:26,METEO.IT - 19/05/2025
TWENTYSEVEN,22:27,BUGIARDO BUGIARDO - 2 PARTE
TWENTYSEVEN,23:07,THE NEW WORLD - IL NUOVO MONDO - 1 PARTE
Iris,19:10,KOJAK - SISTER MARIA
Iris,20:13,WALKER TEXAS RANGER - LA FAMIGLIA LOPEZ
Iris,21:14,IL CURIOSO CASO DI BENJAMIN BUTTON
Iris,00:36,NOTE DI CINEMA
Iris,00:59,SEGRETI
Iris,02:47,CIAK NEWS
Iris,02:50,SEGRETI DI FAMIGLIA
Iris,04:22,E' MEZZANOTTE... BUTTA GIU' IL CADAVERE
TV8,19:05,Alessandro Borghese 4 Ristoranti - Stagione 7 Episodio 6 - Gli agnolotti del Plin
TV8,20:20,Foodish Anteprima - Prima TV
TV8,20:30,Foodish - Stagione 1 Episodio 23 - Prima TV
TV8,21:30,Gialappa - Show Anteprima - Prima TV
TV8,21:35,Gialappa - Show - Stagione 5 Episodio 7 - Prima TV
TV8,23:45,Gialappa - Show Anteprima
TV8,23:50,Gialappa - Show - Stagione 5 Episodio 7
TV8,02:05,FBI: Operazione tata
Italia 2,18:11,ONE PIECE - UNA TRAGEDIA INASPETTATA
Italia 2,18:42,ONE PIECE - RITORNO AL PRESENTE
Italia 2,19:12,YOUNG SHELDON - UNA FUGA ROMANTICA E UNA DIETA TEDESCA A BASE DI CARNE
Italia 2,19:31,"YOUNG SHELDON - UN TORNADO, UN VOLO DI DIECI ORE E UN MALEDETTAMENTE INCANTEVOLE ANELLO"
Italia 2,19:59,DUE UOMINI E 1/2 - L'UOMO PIU' BELLO DELLA CASA
Italia 2,20:31,"DUE UOMINI E 1/2 - AL, IL PAPA' FIGO!"
Italia 2,20:57,DUE UOMINI E 1/2 - UNA NOTTE TRA DONNE
Italia 2,21:25,"ONE PIECE - CORRI, SANJI! SOS! GERMA 66! - 1aTV"
La 5,20:10,UOMINI E DONNE
La 5,21:38,LA SCELTA - THE CHOICE - 1 PARTE
La 5,22:48,TGCOM24 BREAKING NEWS
La 5,22:57,METEO.IT
La 5,22:58,LA SCELTA - THE CHOICE - 2 PARTE
La 5,23:46,STORIE NON ORDINARIE - DI FAMIGLIE - ERA MIO FIGLIO
La 5,00:51,L'ISOLA DEI FAMOSI - EXTENDED EDITION
La 5,04:03,MOVIE TRAILER
NOVE,19:20,Cash or Trash - Chi offre di piÃ¹? - Stagione 4 Episodio 6
NOVE,20:30,Don't Forget the Lyrics - Stai sul pezzo - 1^TV - Stagione 7 Episodio 49
NOVE,21:30,Little Big Italy - 1^TV - Stagione 8 Episodio 1 - Rio
NOVE,23:20,Little Big Italy - Stagione 7 Episodio 12 - Atene
NOVE,01:00,Nudi e crudi - Stagione 1 Episodio 15 - Pericolo in Botswana
NOVE,02:00,Nudi e crudi - Stagione 1 Episodio 16 - Fuoco sulle montagne
NOVE,03:00,Nudi e crudi - Stagione 1 Episodio 17 - Brasile
NOVE,04:00,Nudi e crudi - Stagione 1 Episodio 18 - Sacrificio Maya
Cielo,18:55,Cucine da incubo - Stagione 3 Episodio 2 - A Lanterna
Cielo,19:55,Affari al buio - Stagione 1 Episodio 11 - La citta' del peccato
Cielo,20:25,Affari di famiglia - Stagione 20 Episodio 16 - La chitarra di B.B. King
Cielo,21:20,Mr. & Mrs. Smith
Cielo,23:40,Il Trono di Spade - Stagione 3 Episodio 5 - Baciata dal fuoco
Cielo,00:45,Il Trono di Spade - Stagione 3 Episodio 6 - La scalata
Cielo,01:45,Lucia y el sexo
Cielo,04:15,Sex Pod Quanto Ne Sai Sul Sesso? Episodio 1
La7,18:30,Famiglie dâItalia
La7,20:00,TG LA7
La7,20:35,Otto e Mezzo
La7,21:15,Piazzapulita presenta: 100 Minuti - UNITED COLORS OF MONEY
La7,23:15,150 milligrammi
La7,01:35,TG LA7 Notte
La7,01:45,Otto e Mezzo (r)
La7,02:55,La Torre di Babele doc
La7 D,18:30,TG LA7d
La7 D,18:35,Boston legal
La7 D,20:15,How I met your mother
La7 D,21:15,Memorie di una Geisha
La7 D,23:50,Swimming Pool
La7 D,01:40,This is us
La7 D,02:30,Artbox
La7 D,03:20,LA7 - I Segreti della Corona
Food Network,18:05,Casa Mastrota - Stagione 1 Episodio 9 - L'amico Simone
Food Network,19:00,Casa Mastrota - Stagione 1 Episodio 7 - Simone il casaro
Food Network,20:00,Casa Mastrota - Stagione 1 Episodio 10 - Flo
Food Network,21:00,Casa Mastrota - Stagione 2 Episodio 2
Food Network,22:00,Casa Mastrota - 1^TV - Stagione 2 Episodio 4
Food Network,23:00,Casa Mastrota - Stagione 2 Episodio 3
Food Network,00:00,Giusina in cucina - Stagione 9 Episodio 5
Food Network,00:45,Giusina in cucina - Stagione 9 Episodio 4
TOP CRIME,18:17,MAJOR CRIMES - LA CITTA' SANTUARIO - III PARTE
TOP CRIME,19:15,THE CLOSER - CRIMINI MAGGIORI
TOP CRIME,20:14,THE CLOSER - BOMBA AD OROLOGERIA
TOP CRIME,21:14,C.S.I. - SCENA DEL CRIMINE - LA CASA DEGLI ORRORI
TOP CRIME,22:09,C.S.I. - SCENA DEL CRIMINE - A SANGUE FREDDO
TOP CRIME,23:08,"C.S.I. MIAMI - MIAMI, ABBIAMO UN PROBLEMA"
TOP CRIME,00:05,C.S.I. MIAMI - LOS ANGELES
TOP CRIME,01:06,LA BARA DI VETRO (PERRY MASON)
GIALLO TV,19:10,L'ispettore Barnaby - Stagione 8 Episodio 7 - Salsa per selvaggina
GIALLO TV,21:10,Astrid et Raphaelle - Stagione 4 Episodio 5 - Il Sacrificio dellâAlfiere
GIALLO TV,22:15,Astrid et Raphaelle - Stagione 4 Episodio 6 - La forza della veritÃ
GIALLO TV,23:20,Capitaine Marleau - Stagione 1 Episodio 31 - Eroe per caso
GIALLO TV,01:20,I misteri di Murdoch - Stagione 8 Episodio 15 - Il Naufragio
GIALLO TV,02:15,I misteri di Murdoch - Stagione 8 Episodio 16 - La passione di Crabtree
GIALLO TV,03:10,Torbidi delitti - Stagione 3 Episodio 1 - Un mistero lungo vent'anni
GIALLO TV,04:10,Torbidi delitti - Stagione 3 Episodio 2 - Omicidio sull'Hudson
Rai Premium,18:20,Don Matteo St 10  Ep 16  - La vita Ã¨ un film
Rai Premium,19:20,Il restauratore St 2  Ep 9  - Affari di famiglia
Rai Premium,20:20,Il restauratore St 2  Ep 10  - Una preziosa veritÃ
Rai Premium,21:20,Non preoccuparti delle piccole cose
Rai Premium,22:55,Il commissario Dupin St 1  Ep 6  - Morti misteriose
Rai Premium,00:35,Storie italiane
Rai Premium,02:35,Un ciclone in convento
Rai Premium,03:20,Hudson e Rex St 3  Ep 13  - La casa sulla collina
Mediaset Extra,21:24,"L'ISOLA DEI FAMOSI - EXTENDED EDITION - L'ISOLA DEI FAMOSI - EXTENDED EDITION, 8"
Mediaset Extra,01:09,TGCOM24 BREAKING NEWS - 19/05/2025
Mediaset Extra,01:16,MOVIE TRAILER
Mediaset Extra,01:18,"L'ISOLA DEI FAMOSI - EXTENDED EDITION - L'ISOLA DEI FAMOSI - EXTENDED EDITION, 8"
Mediaset Extra,04:23,"L'ISOLA DEI FAMOSI - EXTENDED EDITION - L'ISOLA DEI FAMOSI - EXTENDED EDITION, 7"
HGTV - HOME GARDEN TV,18:00,Ma che casa ho comprato? - Stagione 1 Episodio 6 - Bambini e caos
HGTV - HOME GARDEN TV,19:00,Ma che casa ho comprato? - Stagione 1 Episodio 7 - Vecchio e nuovo
HGTV - HOME GARDEN TV,20:00,Ma che casa ho comprato? - Stagione 2 Episodio 1 - Un ranch da sogno
HGTV - HOME GARDEN TV,21:00,Case al mare con Christina - Stagione 5 Episodio 2 - Crescere
HGTV - HOME GARDEN TV,22:00,Case al mare con Christina - 1^TV - Stagione 5 Episodio 3 - Dal nulla
HGTV - HOME GARDEN TV,23:00,Case al mare con Christina - Stagione 5 Episodio 1 - Surf
HGTV - HOME GARDEN TV,00:00,Case al mare con Christina - Stagione 3 Episodio 10 - Cucina da rifare
HGTV - HOME GARDEN TV,00:55,SOS: ho distrutto casa! - Stagione 2 Episodio 3 - Nelle nostre mani
TV2000,18:26,Tg2000
TV2000,19:02,Santa Messa
TV2000,19:34,In cammino
TV2000,20:05,Santo Rosario da Cascia
TV2000,20:46,Tg2000
TV2000,21:10,In principio era
TV2000,22:48,In principio era
TV2000,00:28,Indagine ai confini del sacro
Donna TV,18:00,Pillole Di Sapori
Donna TV,18:30,Tormento D'Amore
Donna TV,19:00,Tormento D'Amore
Donna TV,19:30,Emozioni dal Mondo
Donna TV,20:00,Top Model
Donna TV,21:00,Cold Squad
Donna TV,22:00,Italia Avventura
Donna TV,22:30,Luisana Mia
ALMA TV,18:00,Viaggi Straordinari
ALMA TV,19:00,L'Argonauta
ALMA TV,19:30,Atlante
ALMA TV,20:00,L'Italia In Tour
ALMA TV,20:30,In Gran Forma Con Rosanna Lambertucci
ALMA TV,21:00,Cucino Per Te
ALMA TV,21:30,Mangiare Con Gusto
ALMA TV,22:00,Frittanza Altro Fritto Altra Corsa
TRAVEL TV,18:00,Andata e Ritorno
TRAVEL TV,18:30,Tesori e Meraviglie
TRAVEL TV,19:00,Meraviglie della Natura
TRAVEL TV,20:00,Uno Sguardo Dal Cielo
TRAVEL TV,21:00,Viaggio in Italia
TRAVEL TV,21:30,Cities Of The World
TRAVEL TV,22:00,Weekend
TRAVEL TV,22:30,K Around The World
Italia 7 Gold,18:00,APERICALCIO
Italia 7 Gold,19:00,SUPERMERCATO
Italia 7 Gold,19:30,TG7
Italia 7 Gold,20:00,CASALOTTO
Italia 7 Gold,20:30,DIRETTA STADIO
Italia 7 Gold,23:30,CALCISSIMO
Italia 7 Gold,01:00,PROGRAMMAZIONE NOTTURNA
TeleReporter,19:24,Mezzâora Per Voi â Pilates
TeleReporter,19:49,Mezzâora Per Voi â Tonificazione
TeleReporter,20:15,Passatempo
TeleReporter,20:30,Zerovero
TeleReporter,21:15,Il Rompiscatole â Home Ed.
TeleReporter,21:30,Il Gioco Del Mondo
TeleReporter,22:00,Linea Rossa
TeleReporter,23:00,One Man Show
TeleCampione Svizzera Italiana,18:00,Mezzâora Per Voi â Pilates
TeleCampione Svizzera Italiana,18:30,Mezzâora Per Voi â Tonificazione
TeleCampione Svizzera Italiana,19:00,La Vetrina DellâAuto
TeleCampione Svizzera Italiana,20:00,Zerovero
TeleCampione Svizzera Italiana,20:45,Il Rompiscatole â Home Ed.
TeleCampione Svizzera Italiana,21:00,Storie
TeleCampione Svizzera Italiana,22:00,Motor - Cube
TeleCampione Svizzera Italiana,22:30,Lo Specchio
La1,18:00,Telegiornale flash Le notizie della giornata
La1,18:10,Zerovero Conduce Daiana Crivelli
La1,19:00,Il Quotidiano AttualitÃ  della Svizzera italiana
La1,19:40,Doppia scelta Conduce Carla Norghauer
La1,19:55,Meteo regionale I colori del tempo
La1,20:00,Telegiornale Le notizie di prima serata
La1,20:35,Meteo Tutti i colori del tempo
La1,20:40,Il grande show
La2,18:45,"La casa del guardaboschi - Un allevamento particolare Stagione 22, episodio 11"
La2,19:40,"Hudson & Rex - Un'operazione esplosiva Stagione 4, episodio 6"
La2,20:25,Telesguard
La2,20:45,60 minuti
La2,21:55,Hockey su ghiaccio: Mondiali 2025 - Canada - Finlandia Da Stoccolma (SWE)
La2,22:45,Segni dei tempi Settimanale protestante
La2,23:05,BBC Proms 2019
La2,00:45,Telesguard
Rai Sport +HD,18:20,Rugby: Serie A Elite maschile
Rai Sport +HD,20:20,Serie C
Rai Sport +HD,22:50,Basket in Carrozzina
